user,content,url,date,replyCount,retweetCount,likeCount,mentionedUsers,country
"{'username': 'kylemalinda', 'displayname': 'Kyle Malinda-White (he/him) 🏳️\u200d🌈', 'id': 393088142, 'description': 'I tweet about inclusivity, diversity, privacy, mental health. @proutapp co-founder, VPN product manager, poverty & anxiety survivor. My views are personal.', 'rawDescription': 'I tweet about inclusivity, diversity, privacy, mental health. @proutapp co-founder, VPN product manager, poverty & anxiety survivor. My views are personal.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 10, 18, 0, 43, 44, tzinfo=datetime.timezone.utc), 'followersCount': 1836, 'friendsCount': 1516, 'statusesCount': 19132, 'favouritesCount': 7022, 'listedCount': 59, 'mediaCount': 1047, 'location': 'Singapore', 'protected': False, 'linkUrl': 'https://linktr.ee/kylemalindawhite', 'linkTcourl': 'https://t.co/R0vVwF6kZ5', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1324008211020566529/GZ4xD0Uj_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/393088142/1604503132'}","AOC puts it best: if we’re only organising every election, we’re not going to change much. Keep organising, speaking up and taking care of each other. (This matters too for #SGPolitics)

WE are the change we seek. #Election2020 https://t.co/Vq1344AI5G",https://twitter.com/kylemalinda/status/1325135382518796291,2020-11-07 17:57:49+00:00,0,0,2,,Singapore
"{'username': 'bentruscello', 'displayname': 'Ben Truscello 楚本寧', 'id': 14738568, 'description': 'VP APAC Business Development @Mapbox & Chief Business Officer @mapbox_jp. Formerly Head of BD for @Twitter in China and SEA.', 'rawDescription': 'VP APAC Business Development @Mapbox & Chief Business Officer @mapbox_jp. Formerly Head of BD for @Twitter in China and SEA.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2008, 5, 12, 0, 41, 50, tzinfo=datetime.timezone.utc), 'followersCount': 3612, 'friendsCount': 2667, 'statusesCount': 4409, 'favouritesCount': 6974, 'listedCount': 53, 'mediaCount': 815, 'location': 'Singapore', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/880993062217842688/fwmU65Xh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/14738568/1607863622'}",Had a call a couple of months ago with @BruceAHeyman and @vshey about how important Americans abroad will be to #Election2020  ... thank you Bruce &amp; Vicki for the hard work. It clearly paid off! 🥂 https://t.co/jjfxD9FnGx,https://twitter.com/bentruscello/status/1325131071432765441,2020-11-07 17:40:41+00:00,1,0,3,"[{'username': 'BruceAHeyman', 'displayname': 'Bruce A. Heyman', 'id': 52585436, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'vshey', 'displayname': 'Vicki Heyman', 'id': 25578523, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",Singapore
"{'username': 'iameafy', 'displayname': '𝕖𝕒𝕗𝕪', 'id': 198886557, 'description': '“𝙱𝚛𝚘𝚔𝚎 𝚖𝚢 𝚑𝚎𝚊𝚛𝚝 𝚊𝚗𝚍 𝚕𝚎𝚏𝚝 𝚑𝚊𝚕𝚏 𝚘𝚏 𝚒𝚝 𝚒𝚗 𝙼𝚊𝚍𝚛𝚒𝚍“', 'rawDescription': '“𝙱𝚛𝚘𝚔𝚎 𝚖𝚢 𝚑𝚎𝚊𝚛𝚝 𝚊𝚗𝚍 𝚕𝚎𝚏𝚝 𝚑𝚊𝚕𝚏 𝚘𝚏 𝚒𝚝 𝚒𝚗 𝙼𝚊𝚍𝚛𝚒𝚍“', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 10, 5, 14, 12, 26, tzinfo=datetime.timezone.utc), 'followersCount': 129, 'friendsCount': 43, 'statusesCount': 12999, 'favouritesCount': 8849, 'listedCount': 23, 'mediaCount': 1416, 'location': 'Singapore', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1255313749080264705/dhMJJGjJ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/198886557/1608015827'}",Good trumps evil #Election2020 https://t.co/QN0AcOTjNs,https://twitter.com/iameafy/status/1325130677075861504,2020-11-07 17:39:07+00:00,0,0,1,,Singapore
"{'username': 'HermanSpears', 'displayname': 'Herman 🎱', 'id': 136114159, 'description': 'My God, there’s room for everybody, let’s just say that..', 'rawDescription': 'My God, there’s room for everybody, let’s just say that..', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2010, 4, 23, 2, 11, 8, tzinfo=datetime.timezone.utc), 'followersCount': 1359, 'friendsCount': 478, 'statusesCount': 43331, 'favouritesCount': 26669, 'listedCount': 5, 'mediaCount': 1635, 'location': 'Singapore 🇸🇬', 'protected': False, 'linkUrl': 'http://Instagram.com/HermanSpears', 'linkTcourl': 'https://t.co/P1fXo8imCC', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1354845608163467264/_RC_DG8T_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/136114159/1572025309'}","Whether you concede or not, it doesn’t matter! #JoeBiden will replace you very soon in the White House! #Election2020 #Joe",https://twitter.com/HermanSpears/status/1325128113626337280,2020-11-07 17:28:56+00:00,0,0,0,,Singapore
"{'username': 'DanOgunshakin', 'displayname': 'Dan Ogunshakin', 'id': 61984753, 'description': 'A producer of The JD Show & reporter for Fox Sports Asia. LFC fan & sports nut. All opinions my own. Producer & host of Inside the Beautiful Game Podcast', 'rawDescription': 'A producer of The JD Show & reporter for Fox Sports Asia. LFC fan & sports nut. All opinions my own. Producer & host of Inside the Beautiful Game Podcast', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 8, 1, 7, 7, 42, tzinfo=datetime.timezone.utc), 'followersCount': 1366, 'friendsCount': 1849, 'statusesCount': 32695, 'favouritesCount': 50107, 'listedCount': 31, 'mediaCount': 761, 'location': 'Singapore', 'protected': False, 'linkUrl': 'http://www.danielogunshakin.com', 'linkTcourl': 'https://t.co/NDTTpX7STQ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/806139996251963393/U4kHfXRo_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/61984753/1356703256'}",I've not drunk in 10 weeks. Today @JoeBiden became president. I'm getting drunk tonight! He has so much work ahead of him but today the world turns hopefully from right to left. Let's celebrate but there's so much work ahead. #Election2020 #bidenharis2020,https://twitter.com/DanOgunshakin/status/1325126309962342401,2020-11-07 17:21:46+00:00,1,0,7,"[{'username': 'JoeBiden', 'displayname': 'Joe Biden', 'id': 939091, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",Singapore
"{'username': 'kylemalinda', 'displayname': 'Kyle Malinda-White (he/him) 🏳️\u200d🌈', 'id': 393088142, 'description': 'I tweet about inclusivity, diversity, privacy, mental health. @proutapp co-founder, VPN product manager, poverty & anxiety survivor. My views are personal.', 'rawDescription': 'I tweet about inclusivity, diversity, privacy, mental health. @proutapp co-founder, VPN product manager, poverty & anxiety survivor. My views are personal.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 10, 18, 0, 43, 44, tzinfo=datetime.timezone.utc), 'followersCount': 1836, 'friendsCount': 1516, 'statusesCount': 19132, 'favouritesCount': 7022, 'listedCount': 59, 'mediaCount': 1047, 'location': 'Singapore', 'protected': False, 'linkUrl': 'https://linktr.ee/kylemalindawhite', 'linkTcourl': 'https://t.co/R0vVwF6kZ5', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1324008211020566529/GZ4xD0Uj_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/393088142/1604503132'}","Trump saying “You’re fired” has never been more apt than today: https://t.co/FucngT3Xht

#Election2020 https://t.co/v0GtTqBlP3",https://twitter.com/kylemalinda/status/1325125122324262913,2020-11-07 17:17:03+00:00,0,0,1,,Singapore
"{'username': 'kylemalinda', 'displayname': 'Kyle Malinda-White (he/him) 🏳️\u200d🌈', 'id': 393088142, 'description': 'I tweet about inclusivity, diversity, privacy, mental health. @proutapp co-founder, VPN product manager, poverty & anxiety survivor. My views are personal.', 'rawDescription': 'I tweet about inclusivity, diversity, privacy, mental health. @proutapp co-founder, VPN product manager, poverty & anxiety survivor. My views are personal.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2011, 10, 18, 0, 43, 44, tzinfo=datetime.timezone.utc), 'followersCount': 1836, 'friendsCount': 1516, 'statusesCount': 19132, 'favouritesCount': 7022, 'listedCount': 59, 'mediaCount': 1047, 'location': 'Singapore', 'protected': False, 'linkUrl': 'https://linktr.ee/kylemalindawhite', 'linkTcourl': 'https://t.co/R0vVwF6kZ5', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1324008211020566529/GZ4xD0Uj_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/393088142/1604503132'}",@JoeBiden and @KamalaHarris have just changed their Instagram bios to President-elect and Vice President-elect respectively #Election2020 https://t.co/gBYoqt97AO,https://twitter.com/kylemalinda/status/1325123436411187201,2020-11-07 17:10:21+00:00,1,1,5,"[{'username': 'JoeBiden', 'displayname': 'Joe Biden', 'id': 939091, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'KamalaHarris', 'displayname': 'Kamala Harris', 'id': 30354991, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",Singapore
"{'username': 'bentruscello', 'displayname': 'Ben Truscello 楚本寧', 'id': 14738568, 'description': 'VP APAC Business Development @Mapbox & Chief Business Officer @mapbox_jp. Formerly Head of BD for @Twitter in China and SEA.', 'rawDescription': 'VP APAC Business Development @Mapbox & Chief Business Officer @mapbox_jp. Formerly Head of BD for @Twitter in China and SEA.', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2008, 5, 12, 0, 41, 50, tzinfo=datetime.timezone.utc), 'followersCount': 3612, 'friendsCount': 2667, 'statusesCount': 4409, 'favouritesCount': 6974, 'listedCount': 53, 'mediaCount': 815, 'location': 'Singapore', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/880993062217842688/fwmU65Xh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/14738568/1607863622'}",What’s the cure for PTSD? Post-Trumpmatic Stress Disorder #Election2020 https://t.co/0tcCnt9UbS,https://twitter.com/bentruscello/status/1325115974861795328,2020-11-07 16:40:42+00:00,1,1,14,,Singapore
"{'username': 'DanOgunshakin', 'displayname': 'Dan Ogunshakin', 'id': 61984753, 'description': 'A producer of The JD Show & reporter for Fox Sports Asia. LFC fan & sports nut. All opinions my own. Producer & host of Inside the Beautiful Game Podcast', 'rawDescription': 'A producer of The JD Show & reporter for Fox Sports Asia. LFC fan & sports nut. All opinions my own. Producer & host of Inside the Beautiful Game Podcast', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 8, 1, 7, 7, 42, tzinfo=datetime.timezone.utc), 'followersCount': 1366, 'friendsCount': 1849, 'statusesCount': 32695, 'favouritesCount': 50107, 'listedCount': 31, 'mediaCount': 761, 'location': 'Singapore', 'protected': False, 'linkUrl': 'http://www.danielogunshakin.com', 'linkTcourl': 'https://t.co/NDTTpX7STQ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/806139996251963393/U4kHfXRo_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/61984753/1356703256'}","At. Last. 

@JoeBiden will be the 46th President of the United States of America. #Election2020",https://twitter.com/DanOgunshakin/status/1325115137414496257,2020-11-07 16:37:22+00:00,0,0,2,"[{'username': 'JoeBiden', 'displayname': 'Joe Biden', 'id': 939091, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",Singapore
"{'username': 'peterhone', 'displayname': 'peter hone', 'id': 30869555, 'description': 'Normal guy in an abnormal world...', 'rawDescription': 'Normal guy in an abnormal world...', 'descriptionUrls': [], 'verified': False, 'created': datetime.datetime(2009, 4, 13, 14, 3, 18, tzinfo=datetime.timezone.utc), 'followersCount': 143, 'friendsCount': 192, 'statusesCount': 5040, 'favouritesCount': 372, 'listedCount': 3, 'mediaCount': 244, 'location': 'Singapore', 'protected': False, 'linkUrl': 'http://peterhone.blogspot.com/', 'linkTcourl': 'http://t.co/tPHl9LEczL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/458950267233247233/q-6id1QG_normal.jpeg', 'profileBannerUrl': None}",@cspan @JoeBiden Perfect target to lead the Darby &amp; Joan club 🤣🤣 #Election2020,https://twitter.com/peterhone/status/1324925557142745088,2020-11-07 04:04:03+00:00,0,0,1,"[{'username': 'cspan', 'displayname': 'CSPAN', 'id': 15675138, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}, {'username': 'JoeBiden', 'displayname': 'Joe Biden', 'id': 939091, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None}]",Singapore
